OutputArea,TotalPopOver16,StudentPop
S00136726,74,5
S00136727,73,9
S00136728,73,6
S00136729,104,6
S00136730,71,4
S00136731,103,8
S00136732,54,5
S00136733,118,14
S00136734,99,9
S00136735,105,1
S00136736,80,6
S00136737,101,-
S00136738,68,9
S00136739,78,4
S00136740,119,7
S00136741,73,5
S00136742,120,8
S00136743,49,7
S00136744,92,6
S00136745,139,5
S00136746,133,7
S00136747,74,-
S00136748,89,7
S00136749,117,8
S00136750,78,14
S00136751,77,3
S00136752,104,6
S00136753,119,11
S00136754,77,7
S00136755,94,6
S00136756,91,3
S00136757,83,1
S00136758,70,9
S00136759,56,-
S00136760,81,3
S00136761,84,7
S00136762,102,23
S00136763,62,10
S00136764,107,9
S00136765,101,6
S00136766,96,12
S00136767,84,6
S00136768,126,9
S00136769,94,11
S00136770,79,7
S00136771,102,7
S00136772,86,10
S00136773,101,14
S00136774,64,4
S00136775,83,7
S00136776,119,9
S00136777,74,3
S00136778,75,5
S00136779,96,18
S00136780,93,-
S00136781,99,3
S00136782,124,4
S00136783,71,8
S00136784,61,10
S00136785,110,11
S00136786,131,4
S00136787,84,14
S00136788,84,15
S00136789,109,10
S00136790,131,6
S00136791,90,6
S00136792,53,6
S00136793,65,10
S00136794,112,8
S00136795,94,1
S00136796,98,3
S00136797,89,12
S00136798,103,2
S00136799,57,6
S00136800,99,14
S00136801,65,-
S00136802,64,6
S00136803,104,9
S00136804,119,10
S00136805,102,3
S00136806,55,6
S00136807,72,10
S00136808,113,7
S00136809,132,6
S00136810,129,9
S00136811,121,10
S00136812,80,13
S00136813,76,10
S00136814,109,9
S00136815,114,8
S00136816,64,4
S00136817,105,9
S00136818,73,1
S00136819,73,-
S00136820,81,3
S00136821,73,4
S00136822,73,12
S00136823,65,-
S00136824,84,-
S00136825,76,7
S00136826,75,8
S00136827,103,3
S00136828,104,8
S00136829,102,5
S00136830,105,15
S00136831,83,3
S00136832,133,9
S00136833,84,7
S00136834,97,11
S00136835,137,11
S00136836,93,9
S00136837,107,7
S00136838,74,4
S00136839,71,7
S00136840,87,11
S00136841,140,7
S00136842,89,7
S00136843,92,17
S00136844,102,6
S00136845,94,3
S00136846,84,6
S00136847,76,13
S00136848,79,8
S00136849,109,11
S00136850,65,14
S00136851,81,2
