OutputCode,WorkplacePop
S00158115,9
S00158116,13
S00158117,37
S00158118,381
S00158119,31
S00158120,135
S00158121,18
S00158122,34
S00158123,39
S00158124,13
S00158125,23
S00158126,37
S00158127,26
S00158128,16
S00158129,18
S00158130,21
S00158131,120
S00158132,25
S00158133,36
S00158134,36
S00158135,14
S00158136,13
S00158137,45
S00158138,26
S00158139,31
S00158140,18
S00158141,37
S00158142,14
S00158143,41
S00158144,18
S00158145,16
S00158146,28
S00158147,21
S00158148,49
S00158149,373
S00158150,23
S00158151,32
S00158152,33
S00158153,33
S00158154,17
S00158155,24
S00158156,21
S00158157,183
S00158158,26
S00158159,16
S00158160,149
S00158161,20
S00158162,63
S00158163,78
S00158164,38
S00158165,12
S00158166,12
S00158167,44
S00158168,30
S00158169,33
S00158170,60
S00158171,12
S00158172,26
S00158173,32
S00158174,50
S00158175,20
S00158176,11
S00158177,23
S00158178,26
S00158179,22
S00158180,56
S00158181,39
S00158182,7
S00158183,77
S00158184,35
S00158185,27
S00158186,16
S00158187,18
S00158188,33
S00158189,106
S00158190,21
S00158191,49
S00158192,62
S00158193,73
S00158194,102
S00158195,57
S00158196,51
S00158197,24
S00158198,"1,458"
S00158199,9
S00158200,118
S00158201,29
S00158202,107
S00158203,23
S00158204,77
S00158205,41
S00158206,154
S00158207,24
S00158208,13
S00158209,71
S00158210,138
S00158211,70
S00158212,236
S00158213,52
S00158214,57
S00158215,47
S00158216,33
S00158217,283
S00158218,499
S00158219,28
S00158220,16
S00158221,106
S00158222,19
S00158223,35
S00158224,26
S00158225,31
S00158226,37
S00158227,24
S00158228,13
S00158229,25
S00158230,31
S00158231,13
S00158232,15
S00158233,17
S00158234,20
S00158235,21
S00158236,19
S00158237,64
S00158238,26
S00158239,24
S00158240,18
S00158241,149
S00158242,86
S00158243,16
S00158244,14
S00158245,19
S00158246,12
S00158247,21
S00158248,143
S00158249,17
S00158250,14
S00158251,60
S00158252,27
S00158253,61
S00158254,44
S00158255,66
S00158256,52
S00158257,17
S00158258,11
S00158259,21
S00158260,55
S00158261,44
S00158262,23
S00158263,15
S00158264,259
S00158265,16
S00158266,26
S00158267,41
S00158268,11
S00158269,21
S00158270,22
S00158271,31
S00158272,6
S00158273,15
S00158274,34
S00158275,16
S00158276,35
S00158277,41
S00158278,18
S00158279,46
S00158280,32
S00158281,22
S00158282,25
S00158283,27
S00158284,55
S00158285,28
S00158286,15
S00158287,21
S00158288,22
S00158289,46
S00158290,22
S00158291,51
S00158292,8
S00158293,123
S00158294,79
S00158295,40
S00158296,9
S00158297,142
S00158298,31
S00158299,21
S00158300,39
S00158301,22
S00158302,19
S00158303,24
S00158304,29
S00158305,26
S00158306,52
S00158307,34
S00158308,84
S00158309,82
S00158310,15
S00158311,84
S00158312,25
S00158313,44
S00158314,20
S00158315,25
S00158316,39
S00158317,19
S00158318,109
S00158319,19
S00158320,14
S00158321,37
S00158322,50
S00158323,16
S00158324,24
S00158325,146
S00158326,21
S00158327,26
S00158328,118
S00158329,74
S00158330,94
S00158331,"13,433"
S00158332,43
S00158333,34
S00158334,32
S00158335,61
S00158336,16
S00158337,12
S00158338,28
S00158339,36
S00158340,16
S00158341,"3,556"
S00158342,14
S00158343,38
S00158344,23
S00158345,13
S00158346,66
S00158347,78
S00158348,22
S00158349,43
S00158350,18
S00158351,19
S00158352,26
S00158353,18
S00158354,49
S00158355,6
S00158356,41
S00158357,30
S00158358,56
S00158359,18
S00158360,36
S00158361,31
S00158362,36
S00158363,34
S00158364,23
S00158365,95
S00158366,34
S00158367,16
S00158368,63
S00158369,25
S00158370,12
S00158371,39
S00158372,33
S00158373,21
S00158374,53
S00158375,34
S00158376,37
S00158377,26
S00158378,21
S00158379,56
S00158380,23
S00158381,120
S00158382,35
S00158383,37
S00158384,50
S00158385,32
S00158386,20
S00158387,28
S00158388,20
S00158389,66
S00158390,28
