Scotland's Census 2022 - National Records of Scotland
Table UV607 - National Statistics Socio-economic Classification (NS-SeC)
All people aged 16 and over
,"All people aged 16 and over","L1: Employers in large establishments","L2: Higher managerial and administrative occupations","L3: Higher professional occupations","L4: Lower professional and higher technical occupations","L5: Lower managerial and administrative occupations","L6: Higher supervisory occupations","L7: Intermediate occupations","L8: Employers in small establishments","L9: Own account workers","L10: Lower supervisory occupations","L11: Lower technical occupations","L12: Semi-routine occupations","L13: Routine occupations","L14.1: Never worked","L14.2: Long-term unemployed","L15: Full-time students"
"S00135557",74,-,1,8,9,4,2,6,-,2,2,3,15,18,2,1,2
"S00135558",124,-,6,5,22,3,3,14,-,5,4,5,18,23,8,1,6
"S00135559",95,-,3,8,20,2,3,14,1,4,3,7,11,13,2,1,6
"S00135560",91,-,2,13,21,1,3,13,-,7,3,4,9,3,3,-,6
"S00135561",73,-,1,4,8,3,1,4,2,4,2,3,9,18,4,-,11
"S00135562",78,-,2,4,6,3,3,9,1,3,5,5,10,19,4,1,3
"S00135563",44,-,-,-,5,1,3,8,-,3,-,2,11,7,4,2,-
"S00135564",94,-,-,8,22,2,2,15,1,3,3,8,9,11,6,1,2
"S00135565",59,-,3,7,5,2,5,12,-,4,2,4,6,6,1,2,2
"S00135566",87,-,-,7,14,3,2,13,1,8,4,3,10,15,2,1,4
"S00135567",98,-,3,5,21,4,1,16,1,8,1,4,12,14,3,-,6
"S00135568",136,-,-,9,24,5,2,19,-,3,9,9,20,25,6,2,5
"S00135569",89,-,-,1,4,-,4,17,-,1,3,6,19,13,8,-,7
"S00135570",102,-,5,10,13,1,1,22,-,7,4,5,9,15,5,-,3
"S00135571",91,-,-,4,13,1,2,11,-,4,3,5,19,19,1,-,8
"S00135572",103,-,-,6,15,3,2,20,4,8,4,5,12,13,5,-,2
"S00135573",86,-,2,4,12,-,2,7,1,9,2,3,16,19,4,1,1
"S00135574",69,-,7,1,11,3,5,8,1,2,2,5,7,14,4,1,3
"S00135575",126,-,-,10,10,6,2,9,1,11,5,6,16,29,10,-,8
