Scotland's Census 2022 - National Records of Scotland
Table UV607 - National Statistics Socio-economic Classification (NS-SeC)
All people aged 16 and over
,"All people aged 16 and over","L1: Employers in large establishments","L2: Higher managerial and administrative occupations","L3: Higher professional occupations","L4: Lower professional and higher technical occupations","L5: Lower managerial and administrative occupations","L6: Higher supervisory occupations","L7: Intermediate occupations","L8: Employers in small establishments","L9: Own account workers","L10: Lower supervisory occupations","L11: Lower technical occupations","L12: Semi-routine occupations","L13: Routine occupations","L14.1: Never worked","L14.2: Long-term unemployed","L15: Full-time students"
"S00169362",76,-,-,2,13,2,4,9,1,5,4,8,7,8,6,-,9
"S00169363",91,-,-,8,8,2,3,10,-,8,6,3,12,18,7,-,4
"S00169364",87,-,2,6,7,-,1,7,-,10,3,7,10,25,5,-,5
"S00169365",97,-,-,4,9,3,1,11,2,3,7,10,14,22,4,-,6
"S00169366",118,-,4,7,11,6,2,20,1,5,3,4,10,23,12,1,11
"S00169367",160,-,6,11,25,5,5,33,3,6,1,6,16,22,7,-,17
"S00169368",86,-,2,7,15,5,3,10,6,2,1,7,6,5,-,-,15
"S00169369",153,-,7,12,21,5,7,28,-,7,5,7,10,20,6,-,18
"S00169370",130,-,5,14,23,8,4,17,-,6,2,6,14,16,5,1,8
"S00169371",187,-,8,23,29,5,8,19,10,11,4,4,14,16,-,-,30
"S00169372",119,-,7,10,14,2,5,10,-,-,1,3,16,29,9,2,10
"S00169373",134,-,3,6,10,4,3,13,1,4,4,11,21,31,15,3,6
"S00169374",102,-,1,18,22,5,2,11,1,8,4,2,7,11,1,-,7
"S00169375",73,1,2,3,7,2,1,11,-,6,-,3,9,15,3,2,7
"S00169376",139,-,6,12,20,5,6,24,3,8,1,7,11,18,8,-,14
"S00169377",127,-,5,18,33,3,8,19,1,6,3,5,7,13,2,1,4
"S00169378",45,-,1,3,4,3,3,11,-,3,1,2,4,7,1,-,6
"S00169379",92,-,1,17,19,6,4,17,4,2,-,4,5,7,2,-,5
"S00169380",102,-,9,13,10,8,3,9,-,16,7,2,6,6,6,-,3
"S00169381",117,-,1,3,8,-,2,11,-,8,8,7,21,31,8,-,8
"S00169382",145,-,4,17,30,7,4,23,2,5,4,2,11,20,1,-,10
"S00169383",126,-,5,17,15,6,3,11,4,8,5,3,20,8,3,-,10
"S00169384",133,-,4,8,18,6,5,28,-,5,2,7,14,21,6,2,9
"S00169385",84,-,5,13,31,1,3,12,-,-,2,4,4,3,-,-,7
"S00169386",101,-,6,10,17,5,6,18,2,4,5,1,6,5,3,-,14
"S00169387",86,-,2,3,10,-,-,10,-,4,1,2,14,26,12,-,2
"S00169388",104,-,1,6,10,2,5,11,5,2,5,7,10,25,5,-,11
"S00169389",111,-,2,11,16,2,7,19,2,4,3,4,10,13,2,4,11
"S00169390",54,-,2,-,-,-,-,6,-,6,1,1,8,10,13,1,2
"S00169391",74,-,-,3,11,1,4,9,3,6,-,3,5,21,7,1,3
"S00169392",87,-,1,12,14,2,1,18,-,5,3,2,10,7,3,-,8
"S00169393",124,-,4,12,30,2,5,14,2,8,-,3,9,12,2,1,19
"S00169394",84,-,3,2,11,4,6,20,1,4,-,2,5,13,5,-,6
"S00169395",98,-,1,-,6,2,1,10,2,3,1,5,13,28,8,4,13
"S00169396",129,-,3,21,29,6,4,21,4,9,2,1,10,10,-,-,10
"S00169397",121,-,3,5,11,3,5,21,2,7,4,-,13,36,2,-,17
"S00169398",100,-,-,4,8,4,1,6,-,4,1,3,16,30,14,2,5
"S00169399",68,-,1,11,7,1,3,13,1,5,3,2,3,17,4,-,-
"S00169400",101,-,-,1,7,3,-,9,1,6,3,7,17,29,8,-,8
"S00169401",93,-,2,-,3,4,-,6,-,3,1,3,14,23,17,-,20
"S00169402",58,-,2,9,14,-,1,11,2,2,-,4,4,4,1,-,3
"S00169403",86,-,-,2,3,-,1,13,2,8,2,7,12,19,11,3,6
"S00169404",115,-,8,6,28,6,6,16,-,8,5,4,8,13,-,-,10
"S00169405",77,-,9,3,21,1,2,13,-,5,-,4,2,2,3,-,4
"S00169406",132,-,4,4,21,8,8,30,3,7,1,9,13,16,2,-,12
"S00169407",99,-,-,3,10,4,3,8,-,5,2,5,14,35,6,1,5
"S00169408",146,-,3,11,31,7,4,30,3,9,-,3,12,9,13,-,9
"S00169409",73,-,2,4,4,-,2,6,1,5,2,3,8,25,1,-,5
"S00169410",89,-,1,14,21,1,-,13,1,4,3,1,12,6,3,-,5
"S00169411",115,-,5,5,15,6,3,10,4,7,8,3,14,20,7,1,5
"S00169412",109,-,1,1,6,6,2,12,1,6,3,5,11,28,13,-,9
"S00169413",69,-,-,8,3,-,2,8,-,3,1,3,10,23,4,-,6
"S00169414",98,-,6,8,18,3,3,18,2,6,2,1,4,17,4,-,7
"S00169415",107,-,1,14,25,4,1,16,-,5,1,6,8,11,4,-,9
"S00169416",99,-,2,8,15,5,2,14,1,7,3,11,7,14,2,2,6
"S00169417",63,-,-,7,8,4,4,8,-,3,5,3,8,4,2,4,5
"S00169418",126,-,2,2,10,4,1,22,1,7,3,3,17,29,15,4,8
"S00169419",134,-,9,19,32,4,1,22,4,9,1,6,7,5,2,-,9
"S00169420",87,-,1,5,4,4,2,13,1,-,2,5,7,26,5,-,9
"S00169421",99,-,7,17,21,-,3,17,4,1,1,4,12,7,2,-,5
"S00169422",110,-,5,10,17,1,3,7,3,7,3,5,8,15,8,-,4
"S00169423",91,-,4,9,19,1,9,21,-,5,-,3,3,5,1,-,11
"S00169424",137,-,7,13,25,8,3,10,3,8,3,10,16,8,4,-,16
"S00169425",137,-,3,16,35,4,6,12,5,10,2,4,14,7,9,1,13
"S00169426",80,-,-,-,6,-,-,11,1,6,3,3,9,23,17,-,-
"S00169427",70,-,2,8,8,4,3,9,-,4,2,4,6,11,7,-,7
"S00169428",87,-,3,8,17,6,4,14,1,6,-,4,9,6,-,-,7
"S00169429",69,-,3,2,6,2,3,11,1,6,2,5,12,12,2,-,2
"S00169430",81,-,1,1,10,2,2,13,-,5,4,-,8,21,7,3,8
"S00169431",85,-,5,9,24,3,5,11,-,4,6,3,12,4,-,-,1
"S00169432",141,-,7,14,31,4,6,17,2,8,4,4,20,8,6,-,9
"S00169433",92,-,5,2,15,1,1,8,-,6,3,5,10,18,9,3,7
"S00169434",81,-,4,1,5,4,2,10,-,7,1,4,13,21,10,-,1
"S00169435",102,-,4,11,24,1,5,19,3,4,1,4,8,11,-,2,6
"S00169436",156,-,9,16,28,5,8,16,6,10,2,8,13,17,7,-,12
"S00169437",108,-,4,18,13,6,5,10,1,7,8,3,15,11,3,-,8
"S00169438",79,-,2,6,12,1,-,13,2,4,3,6,13,13,3,1,2
"S00169439",76,-,2,-,6,4,1,9,-,1,-,6,19,20,8,-,2
"S00169440",97,-,-,3,7,6,3,17,2,2,3,4,13,22,10,1,4
"S00169441",93,-,1,11,13,2,2,10,3,3,2,13,12,15,6,1,1
"S00169442",82,-,10,9,15,4,-,10,1,5,2,3,4,8,-,-,12
"S00169443",121,-,4,14,24,5,4,11,2,7,4,4,9,5,7,2,17
"S00169444",102,-,4,3,10,5,5,11,-,2,6,7,15,24,7,2,8
"S00169445",86,-,1,2,7,2,6,12,1,5,6,4,17,15,5,-,1
"S00169446",102,-,5,8,18,4,6,29,-,1,3,6,13,5,4,-,4
"S00169447",86,-,2,10,18,1,3,15,-,8,1,3,6,10,3,2,5
"S00169448",126,-,1,4,10,-,4,14,1,5,3,8,26,35,11,2,4
"S00169449",92,-,1,6,10,7,3,16,2,2,2,6,7,18,5,1,2
"S00169450",88,-,4,8,28,8,2,13,1,4,-,-,10,10,-,-,3
"S00169451",114,-,-,8,7,1,-,12,2,3,2,12,21,27,8,2,8
"S00169452",134,-,1,12,32,5,6,13,2,4,2,11,19,10,6,-,8
"S00169453",63,-,3,5,19,1,-,6,3,5,1,1,5,5,4,-,3
"S00169454",104,-,4,11,27,1,4,18,-,-,6,3,7,11,2,-,5
"S00169455",131,-,1,6,8,1,3,23,1,3,5,4,25,38,12,-,8
"S00169456",86,-,-,2,4,2,-,10,2,4,5,9,15,20,-,-,6
"S00169457",84,-,3,8,16,3,2,12,1,4,4,2,12,10,1,-,5
"S00169458",129,-,12,21,34,7,2,17,4,4,6,2,16,6,2,1,4
"S00169459",153,-,3,3,6,1,8,20,-,6,4,9,16,42,13,-,22
"S00169460",81,-,2,4,7,1,4,5,3,2,4,4,17,25,6,1,4
"S00169461",70,-,1,2,7,2,1,10,-,1,5,6,10,18,4,-,5
"S00169462",64,-,3,9,11,1,4,10,1,5,5,3,2,8,2,-,4
"S00169463",81,-,2,4,14,-,1,9,-,6,2,1,12,16,3,2,11
"S00169464",101,-,3,8,27,4,1,18,2,4,4,5,14,8,3,-,5
"S00169465",133,-,3,2,16,4,3,16,3,8,5,8,18,30,6,1,13
"S00169466",101,-,-,3,3,4,2,9,1,2,2,8,17,27,8,2,9
"S00169467",98,-,7,18,17,1,3,13,7,4,2,7,3,8,7,-,6
"S00169468",113,-,1,18,27,14,4,11,4,5,4,7,5,8,2,-,3
"S00169469",114,-,6,11,25,11,5,18,3,7,3,1,7,10,4,-,11
"S00169470",85,-,-,6,7,-,2,8,-,3,3,5,9,24,6,-,11
"S00169471",94,-,-,3,9,3,-,15,4,5,2,3,11,22,7,-,8
"S00169472",102,-,4,10,14,3,3,17,4,5,1,4,10,15,6,-,5
"S00169473",110,-,9,12,28,2,3,14,6,5,3,4,7,9,3,-,5
"S00169474",171,-,7,5,23,6,9,36,-,4,7,8,18,28,11,1,8
"S00169475",107,-,3,10,17,7,6,20,-,5,1,8,12,7,1,2,10
"S00169476",122,-,2,1,9,3,2,18,-,8,4,4,17,36,14,-,5
"S00169477",93,-,-,3,9,5,1,11,-,10,6,5,14,18,7,-,4
"S00169478",115,-,5,15,15,6,6,10,2,10,4,-,9,11,7,-,8
"S00169479",78,-,3,5,12,7,-,11,1,13,-,4,5,14,2,-,-
"S00169480",110,-,-,-,6,3,3,17,-,2,6,3,18,27,12,2,9
"S00169481",225,2,5,12,27,6,9,29,8,10,4,1,32,33,28,-,15
"S00169482",107,-,-,-,10,4,6,11,-,2,9,6,16,25,13,1,4
"S00169483",110,-,1,2,12,3,2,14,1,2,3,4,19,25,16,-,3
"S00169484",112,-,-,2,7,3,1,12,1,4,7,3,18,30,14,1,5
"S00169485",89,-,2,6,9,2,1,6,-,1,1,8,9,30,4,1,5
"S00169486",98,-,2,2,9,3,2,11,1,6,2,5,12,18,8,-,8
"S00169487",63,-,3,6,19,-,2,7,-,6,2,2,4,11,2,-,-
"S00169488",106,-,4,5,9,11,4,18,1,3,3,4,12,17,8,-,7
"S00169489",105,-,1,8,14,6,5,11,2,4,7,5,13,17,2,2,7
"S00169490",86,-,2,5,9,1,1,10,-,4,1,7,7,25,6,-,6
"S00169491",77,-,2,2,5,1,1,9,-,3,5,-,10,21,7,-,11
"S00169492",106,-,7,9,20,3,2,27,3,3,3,1,7,11,6,2,4
"S00169493",172,-,18,24,26,6,7,21,12,16,8,6,6,7,5,1,11
"S00169494",67,-,-,2,4,1,2,7,-,4,2,2,7,21,10,2,2
"S00169495",117,-,3,7,15,7,1,10,4,9,5,4,16,15,9,-,8
"S00169496",52,-,-,3,2,2,-,5,-,2,3,3,9,9,8,1,4
"S00169497",111,-,-,4,18,3,5,2,2,6,8,3,16,29,6,2,4
"S00169498",142,-,4,9,10,5,3,17,-,8,7,4,22,28,15,1,10
"S00169499",91,-,-,4,11,3,1,6,-,6,9,4,21,27,4,-,5
"S00169500",91,-,-,3,8,1,1,12,-,4,10,5,13,22,7,1,3
"S00169501",85,-,-,-,4,1,1,11,2,4,1,-,7,27,18,1,4
"S00169502",70,-,-,-,6,-,1,6,2,1,1,3,8,25,9,1,4
"S00169503",70,-,-,2,10,2,1,10,2,4,-,1,8,20,4,1,4
"S00169504",66,-,1,1,4,2,-,7,1,-,5,4,18,13,8,-,6
"S00169505",616,4,2,10,21,6,6,29,34,60,22,47,54,203,94,12,12
"S00169506",92,-,3,9,18,8,6,11,2,4,-,4,6,11,5,-,5
"S00169507",88,-,2,-,7,2,4,5,-,3,3,2,12,24,8,2,11
"S00169508",152,-,4,11,30,4,7,26,4,4,3,8,19,12,3,-,17
"S00169509",69,-,4,3,2,1,-,10,1,2,1,3,6,19,13,4,5
"S00169510",159,-,2,5,18,2,14,6,3,6,1,5,29,31,27,1,9
"S00169511",135,-,6,14,27,7,6,14,3,9,1,8,10,12,3,2,8
"S00169512",55,-,1,-,5,-,1,7,-,4,2,3,10,12,6,-,1
"S00169513",95,-,1,6,6,2,1,10,-,4,6,2,18,24,5,3,5
"S00169514",141,-,4,9,24,5,-,16,4,15,9,5,14,14,8,4,12
"S00169515",69,-,1,4,3,3,1,5,2,2,1,-,12,26,4,-,7
"S00169516",108,-,1,3,7,1,2,6,1,-,6,7,17,25,21,-,12
"S00169517",60,-,1,2,3,-,1,7,2,3,5,4,11,9,4,-,4
"S00169518",88,-,1,4,6,2,-,7,1,3,6,7,14,27,5,-,4
"S00169519",136,-,3,5,9,6,3,19,-,11,1,11,31,33,5,1,8
"S00169520",84,-,2,1,7,4,3,7,2,2,4,2,10,22,13,1,3
"S00169521",173,-,7,17,39,7,4,21,7,5,4,8,14,7,-,-,30
"S00169522",79,-,2,-,4,-,2,12,2,4,4,2,8,22,6,2,8
"S00169523",48,-,-,1,7,3,-,3,-,1,-,4,9,11,7,-,3
"S00169524",147,-,3,15,23,7,5,25,2,7,2,12,13,24,2,1,5
"S00169525",81,-,2,2,6,-,2,6,-,5,5,2,18,22,2,1,8
"S00169526",75,-,-,4,7,-,-,11,1,3,2,3,13,17,9,-,6
"S00169527",68,-,-,4,-,-,-,6,2,2,-,4,7,26,9,2,4
"S00169528",118,-,3,-,11,-,1,19,-,6,2,5,14,35,10,2,7
"S00169529",69,-,2,2,3,-,1,4,1,2,2,4,13,14,11,-,6
"S00169530",100,-,4,6,15,2,3,6,4,5,4,3,12,15,12,-,8
"S00169531",116,-,3,5,12,5,5,18,-,8,4,10,12,19,7,1,4
"S00169532",113,-,3,4,12,4,2,15,1,6,3,1,10,25,11,-,9
"S00169533",104,-,2,5,23,2,3,16,1,5,4,3,9,18,8,3,7
"S00169534",100,-,-,1,14,2,3,17,3,6,2,5,14,27,5,-,2
"S00169535",70,-,-,6,6,3,1,3,-,-,2,3,15,20,10,-,2
"S00169536",129,-,-,-,9,4,3,8,3,11,4,5,20,21,13,1,24
"S00169537",124,-,2,3,3,3,5,26,1,7,3,4,10,26,11,2,9
"S00169538",82,-,-,-,10,4,1,16,-,2,4,4,12,19,8,-,1
"S00169539",77,-,2,-,2,3,2,7,-,1,1,3,10,18,9,-,12
"S00169540",67,-,-,2,5,2,-,4,1,-,3,2,14,12,7,-,12
"S00169541",62,-,6,3,2,3,1,13,-,1,5,3,6,17,4,-,2
"S00169542",92,-,5,1,7,-,3,4,-,3,3,3,11,23,15,2,8
"S00169543",63,-,2,5,6,-,1,8,-,-,2,5,14,8,9,1,8
"S00169544",106,-,1,4,10,1,1,10,3,4,3,5,17,27,8,1,-
"S00169545",70,-,1,6,10,-,-,5,3,7,3,3,9,15,6,-,2
"S00169546",61,-,-,1,2,4,-,10,-,4,1,1,8,18,6,-,-
"S00169547",92,-,4,2,5,-,1,9,2,8,6,6,21,21,4,-,4
"S00169548",78,-,-,1,6,2,2,8,1,3,4,3,16,14,14,3,2
"S00169549",59,-,2,2,4,3,1,6,-,3,4,-,9,14,11,-,4
"S00169550",89,-,2,6,12,2,4,11,3,8,1,4,7,18,5,-,9
"S00169551",89,1,2,5,9,-,1,4,1,5,5,3,10,24,9,-,14
"S00169552",80,-,-,2,9,1,-,9,-,6,6,5,10,16,10,1,3
"S00169553",143,1,4,13,23,4,2,23,3,7,4,8,12,20,7,1,7
"S00169554",66,-,4,-,5,1,3,8,1,1,-,5,7,19,3,-,5
"S00169555",147,-,8,13,29,7,7,13,1,11,5,5,13,18,7,-,11
"S00169556",77,-,3,2,7,-,2,6,-,3,8,5,10,15,8,-,2
"S00169557",94,-,8,13,21,11,3,11,2,5,1,4,2,10,5,-,4
"S00169558",121,-,1,2,8,4,4,9,-,4,10,8,12,36,12,-,10
"S00169559",87,-,-,2,7,4,-,10,-,2,6,2,10,23,10,-,4
"S00169560",67,-,1,4,1,-,2,6,-,8,3,5,8,18,8,3,4
"S00169561",90,-,1,2,9,1,-,11,1,5,-,3,24,14,15,1,-
"S00169562",90,-,2,2,9,3,2,8,-,8,5,-,9,17,14,2,6
"S00169563",62,-,1,-,6,2,1,4,-,3,4,4,10,18,6,-,3
"S00169564",83,-,1,5,16,2,-,13,1,1,5,8,10,10,7,-,5
"S00169565",92,-,2,6,8,1,1,18,2,10,-,3,13,15,9,-,7
"S00169566",62,-,1,1,5,2,8,9,-,4,2,-,11,13,4,1,4
"S00169567",98,-,-,7,11,-,4,11,1,4,2,3,15,24,11,-,7
"S00169568",114,-,1,3,9,4,7,10,-,2,5,6,16,33,10,-,6
"S00169569",78,-,-,1,10,3,-,6,-,4,-,6,14,24,7,-,4
"S00169570",67,-,-,4,17,-,2,2,3,14,2,1,6,5,4,1,5
"S00169571",65,-,-,1,8,-,1,5,-,4,4,-,3,29,5,1,4
"S00169572",102,-,3,9,28,6,1,16,1,3,2,-,13,8,6,-,6
"S00169573",64,-,-,2,9,-,3,8,-,1,3,3,7,14,9,2,4
"S00169574",110,-,1,1,13,3,3,21,-,5,8,3,22,20,6,-,5
"S00169575",91,-,2,1,9,3,4,11,1,3,3,4,9,23,8,-,6
"S00169576",89,-,3,5,4,6,2,5,4,8,3,4,10,16,5,-,10
"S00169577",79,-,4,13,8,4,2,10,3,9,3,3,6,6,1,-,8
"S00169578",83,-,1,4,1,2,3,7,-,9,4,4,9,19,10,-,10
"S00169579",53,-,4,2,4,-,2,7,1,-,-,4,7,10,7,-,3
"S00169580",76,-,4,4,18,1,2,6,-,4,1,-,8,13,6,-,3
"S00169581",58,-,1,3,4,2,-,8,-,-,7,5,8,13,3,1,-
"S00169582",95,-,-,5,16,1,4,10,3,12,1,4,14,12,8,2,2
"S00169583",98,-,-,3,11,4,3,8,-,1,4,5,17,23,6,2,6
"S00169584",90,-,1,1,12,1,1,7,3,2,-,10,11,23,12,-,2
"S00169585",117,-,2,7,13,2,6,14,2,3,7,6,15,23,7,1,10
"S00169586",101,-,4,5,18,3,4,15,-,1,5,9,14,14,3,1,4
"S00169587",128,-,1,4,13,8,6,12,2,4,1,7,25,29,8,1,10
"S00169588",116,-,7,6,17,1,1,21,2,7,5,8,13,7,4,1,16
"S00169589",58,-,1,1,4,3,2,11,4,1,-,4,11,7,7,-,2
"S00169590",100,-,2,2,2,1,-,11,-,6,4,6,15,34,12,2,2
"S00169591",130,-,-,2,11,3,2,15,2,8,12,4,22,31,13,2,7
"S00169592",103,-,3,4,20,1,2,17,-,10,2,1,12,19,3,-,5
"S00169593",100,-,-,2,9,-,-,9,1,8,3,3,19,21,8,2,10
"S00169594",99,-,6,8,18,-,-,15,1,6,2,11,8,12,4,-,8
"S00169595",87,-,2,4,9,-,-,4,-,7,4,10,16,18,8,-,5
"S00169596",65,-,1,6,10,2,4,13,1,3,3,-,6,4,2,-,7
"S00169597",82,-,2,6,9,4,2,7,2,3,3,5,12,7,13,1,4
"S00169598",68,-,-,-,3,2,-,9,-,2,5,6,13,16,6,-,5
"S00169599",116,-,5,24,32,8,2,12,2,9,2,6,4,8,2,-,6
"S00169600",71,-,1,4,7,3,2,16,3,4,1,5,6,14,8,1,3
"S00169601",149,-,2,13,17,8,3,22,2,11,5,10,12,23,4,-,12
"S00169602",120,-,2,3,21,5,4,16,1,4,4,7,11,26,4,-,12
"S00169603",70,-,-,1,6,-,2,16,-,2,3,3,12,12,10,1,4
"S00169604",58,-,-,2,3,2,-,6,-,6,-,2,5,22,5,1,5
"S00169605",71,-,2,5,5,1,1,7,3,3,3,3,12,14,6,2,2
"S00169606",161,-,1,7,27,3,10,26,4,12,3,4,19,25,6,1,10
"S00169607",51,-,-,2,8,4,-,12,-,3,1,-,5,10,-,-,3
"S00169608",58,-,-,2,2,1,1,7,-,4,-,1,10,22,7,-,4
"S00169609",92,-,1,1,8,4,4,11,1,7,7,3,11,19,7,-,6
"S00169610",85,-,1,4,11,2,3,9,-,5,5,5,16,16,8,-,-
"S00169611",103,-,1,3,13,4,1,15,2,11,3,10,13,14,6,-,4
"S00169612",80,-,1,2,12,1,2,12,1,2,5,5,7,19,10,-,2
"S00169613",105,-,1,3,15,6,5,17,4,8,-,4,15,15,6,-,6
"S00169614",78,-,-,3,4,3,2,13,-,3,-,5,11,15,6,-,4
"S00169615",135,-,1,11,16,2,9,31,5,12,5,4,14,13,8,1,8
"S00169616",74,-,2,3,8,1,4,9,-,4,4,2,9,12,4,1,6
"S00169617",86,-,1,5,8,-,1,11,-,7,-,4,9,23,5,3,9
"S00169618",68,-,2,3,9,1,-,11,1,4,1,1,12,17,5,-,3
"S00169619",66,-,-,3,6,-,-,10,1,4,5,-,13,15,7,-,1
"S00169620",116,-,4,16,24,8,2,23,5,4,1,8,7,8,6,-,-
"S00169621",86,-,-,3,4,-,-,8,2,7,5,6,18,17,7,1,3
"S00169622",139,-,5,11,28,6,2,15,1,3,7,8,16,21,7,-,10
"S00169623",73,-,2,1,4,5,4,16,1,2,1,1,14,14,5,-,2
"S00169624",152,-,4,14,31,9,6,18,4,7,6,6,18,13,4,-,16
"S00169625",161,-,2,11,32,8,5,30,2,5,7,8,11,15,9,1,13
"S00169626",62,-,4,3,7,-,-,6,-,-,8,5,8,14,6,-,4
"S00169627",88,-,-,1,8,2,2,10,1,7,1,8,13,22,9,-,10
"S00169628",86,-,2,8,11,4,3,13,-,4,3,6,12,12,4,-,6
"S00169629",142,-,2,5,20,8,5,17,2,9,9,5,24,24,7,-,14
"S00169630",65,-,4,4,14,6,1,9,2,2,-,2,9,4,4,-,4
"S00169631",71,-,-,1,6,-,-,9,2,2,2,2,8,22,13,4,1
"S00169632",76,-,1,10,31,4,3,11,-,4,1,1,3,3,-,-,4
"S00169633",91,-,-,2,9,1,3,9,-,3,5,5,20,19,9,2,6
"S00169634",84,-,2,2,11,-,4,12,1,4,3,5,12,14,1,-,9
"S00169635",96,-,1,4,6,-,2,19,3,2,5,4,15,15,10,3,5
"S00169636",128,-,5,8,19,12,5,25,-,13,4,11,9,8,1,1,7
"S00169637",60,-,-,-,4,3,1,5,-,-,-,2,7,25,10,-,1
"S00169638",96,-,3,10,17,3,1,21,1,5,-,6,13,8,3,2,6
"S00169639",66,-,-,5,5,2,2,8,-,6,2,4,12,14,4,-,3
"S00169640",108,-,-,11,6,5,3,13,-,6,3,9,13,23,7,2,7
"S00169641",59,-,2,2,2,-,-,8,1,-,2,1,9,18,8,4,7
"S00169642",141,-,2,21,35,7,1,17,1,13,5,6,8,12,1,2,9
"S00169643",74,-,1,1,6,-,7,4,3,4,3,2,10,18,7,-,4
"S00169644",84,-,-,2,11,-,-,11,1,4,1,2,9,21,17,3,2
"S00169645",114,-,2,3,11,-,2,16,1,4,7,3,21,24,13,-,3
"S00169646",137,-,-,5,14,4,1,11,1,10,5,5,29,35,10,4,4
"S00169647",119,-,2,3,6,5,2,21,-,-,7,6,15,27,11,-,8
"S00169648",49,-,-,2,5,-,-,7,1,2,3,2,5,15,6,1,1
"S00169649",79,-,1,3,7,4,1,12,-,4,5,3,13,21,10,-,-
"S00169650",52,-,1,1,3,1,-,5,-,5,2,2,5,16,14,-,3
"S00169651",91,-,2,-,8,-,-,8,1,3,4,2,18,26,14,-,6
"S00169652",67,-,-,-,9,2,-,8,-,4,2,2,13,16,4,-,5
"S00169653",123,-,2,13,28,4,6,22,1,4,3,5,17,12,9,-,8
"S00169654",137,-,2,3,10,8,6,16,2,7,2,10,16,33,12,1,8
"S00169655",104,-,1,4,9,1,3,13,1,8,1,5,18,25,8,2,4
"S00169656",61,-,3,2,7,-,1,6,2,7,1,7,7,8,4,-,2
"S00169657",55,-,-,1,3,1,-,11,1,1,2,-,8,16,9,-,4
"S00169658",92,-,3,5,6,1,5,9,-,3,4,5,18,24,6,-,4
"S00169659",81,-,4,13,12,-,7,13,2,4,2,2,4,7,-,1,6
"S00169660",130,-,4,13,24,7,5,26,1,3,2,5,15,10,-,1,13
"S00169661",63,-,1,6,7,1,-,13,-,2,6,2,7,4,3,-,6
"S00169662",94,-,1,5,15,3,3,12,2,4,4,8,11,11,5,-,3
"S00169663",171,-,11,18,39,6,10,12,5,6,4,13,9,19,5,2,13
"S00169664",92,-,3,8,29,4,1,9,4,7,3,3,7,6,1,-,2
"S00169665",129,-,1,7,10,5,2,7,1,5,7,4,10,18,39,-,9
"S00169666",106,-,6,8,9,-,5,15,2,7,4,9,11,13,9,-,2
"S00169667",99,-,-,5,7,5,2,13,1,3,1,1,18,33,5,-,5
"S00169668",107,-,2,9,14,3,3,18,3,9,2,4,9,18,6,1,4
"S00169669",99,-,2,4,18,5,2,10,3,4,4,5,12,8,4,-,10
"S00169670",142,-,5,12,27,7,10,9,2,9,3,6,14,14,10,-,10
"S00169671",109,-,-,8,18,5,5,9,-,5,2,-,17,25,4,-,6
"S00169672",60,-,3,-,10,-,-,7,1,4,2,-,6,10,4,1,7
"S00169673",63,-,1,2,13,1,2,6,2,2,-,4,5,7,15,-,6
"S00169674",57,-,3,2,9,1,-,6,-,6,2,4,5,5,1,-,4
"S00169675",133,-,6,25,27,8,4,17,3,3,7,4,3,9,5,-,12
"S00169676",97,-,2,5,8,-,1,19,-,1,3,3,18,23,9,-,10
"S00169677",80,-,4,5,13,1,5,15,2,4,3,2,7,8,1,3,9
"S00169678",109,-,-,5,18,4,3,17,2,4,3,7,15,13,5,3,11
"S00169679",127,-,-,6,12,2,6,16,3,12,2,4,17,17,16,2,10
"S00169680",100,-,4,4,18,1,7,11,-,1,6,6,11,10,8,-,10
"S00169681",129,-,2,5,27,9,5,20,4,10,3,4,16,18,1,-,7
"S00169682",75,-,-,3,2,4,4,9,-,8,2,2,13,13,9,3,1
"S00169683",111,-,1,6,19,3,4,18,-,6,4,8,18,18,5,1,5
"S00169684",73,-,3,2,5,-,1,10,-,4,5,4,12,18,4,-,-
"S00169685",75,-,-,4,4,2,-,9,2,2,-,2,18,24,1,1,6
"S00169686",152,-,10,5,28,6,3,16,6,5,7,3,20,23,12,-,11
"S00169687",76,-,2,-,12,4,-,6,-,1,3,1,12,22,10,-,9
"S00169688",55,-,-,-,9,2,2,9,-,2,2,-,11,15,4,2,1
"S00169689",79,-,1,1,17,5,-,7,-,2,1,6,16,13,11,-,2
"S00169690",79,-,-,-,7,1,2,16,-,4,4,4,11,17,6,-,7
"S00169691",69,-,-,4,4,-,1,5,1,4,3,1,8,26,9,2,4
"S00169692",109,-,1,4,5,4,-,14,-,4,5,7,20,25,10,-,10
"S00169693",123,-,5,3,11,2,7,8,-,8,6,4,19,25,17,2,5
"S00169694",132,1,8,13,26,5,9,16,4,5,5,6,10,16,-,-,8
"S00169695",86,-,1,5,5,1,-,7,-,3,7,5,15,20,11,2,6
"S00169696",125,-,-,4,9,6,4,13,-,1,2,5,25,29,12,-,11
"S00169697",75,-,2,8,11,2,2,8,3,6,1,7,6,12,4,-,4
"S00169698",79,-,2,4,6,2,3,4,2,6,1,4,10,18,13,-,6
"S00169699",89,-,1,-,8,1,4,4,2,5,3,7,11,24,14,-,7
"S00169700",160,-,4,10,27,5,6,22,-,11,2,14,18,26,6,1,6
"S00169701",94,-,4,8,13,2,3,4,4,2,5,6,10,16,8,-,4
"S00169702",98,-,4,8,10,4,1,18,4,6,4,5,5,19,4,2,6
"S00169703",69,1,1,2,8,6,3,10,2,8,1,3,8,17,3,-,-
"S00169704",75,-,2,-,-,3,2,6,-,1,1,4,9,27,10,-,9
