OutputArea,All people aged 16 and over in employment the week before the census (including full-time students if they gave a work address as the address they primarily travel to for work or study),Mainly work from home,Less than 2km,2km to less than 5km,5km to less than 10km,10km to less than 20km,20km to less than 30km,30km to less than 40km,40km to less than 60km,60km and over,Other - No fixed place of work or working outside the UK
S00135632,62,16,2,23,8,4,-,-,-,-,9
S00135633,22,6,-,5,5,2,-,-,-,-,3
S00135634,63,11,2,12,19,3,2,1,-,-,7
S00135635,70,24,6,11,18,2,-,-,-,1,11
S00135636,54,21,3,5,12,1,1,-,-,1,10
S00135637,59,15,6,10,10,1,1,-,2,-,12
S00135638,28,7,3,5,2,1,-,-,-,-,4
S00135639,54,12,-,16,16,2,-,-,-,-,5
S00135640,59,17,2,14,15,4,-,-,-,-,6
S00135641,31,4,1,9,9,1,-,-,-,-,7
S00135642,80,29,5,28,9,1,2,-,-,-,8
S00135643,41,9,4,9,4,3,-,-,-,1,11
S00135644,31,12,-,10,1,-,1,1,2,1,2
S00135645,32,11,1,7,8,1,-,-,-,-,6
S00135646,26,7,2,2,8,-,1,-,-,-,9
S00135647,74,19,2,23,19,1,-,-,-,-,8
S00135648,66,17,3,21,8,3,1,-,-,1,12
S00135649,41,16,1,9,1,5,1,-,-,1,8
S00135650,52,11,5,12,9,2,5,-,-,-,10
S00135651,66,13,7,18,12,-,1,-,-,-,16
S00135652,40,10,2,14,6,2,-,-,-,-,6
S00135653,37,10,-,10,6,-,-,-,-,1,10
S00135654,48,10,4,16,2,1,-,-,1,-,8
S00135655,62,14,2,23,8,1,1,-,1,-,14
S00135656,55,20,1,8,10,1,3,-,-,-,13
S00135657,42,8,4,13,7,3,3,-,1,-,6
S00135658,45,16,4,16,-,1,1,-,-,2,6
S00135659,73,24,2,24,13,-,1,-,-,1,7
S00135660,61,12,5,10,10,2,3,-,2,-,22
S00135661,31,6,2,9,8,-,1,-,-,-,3
S00135662,76,22,3,23,14,8,2,1,-,-,6
S00135663,43,15,-,13,8,1,-,-,-,-,6
S00135664,86,31,6,15,19,4,1,-,-,1,14
S00135665,25,11,-,4,2,2,1,-,-,-,6
S00135666,30,8,-,11,6,1,-,-,-,-,6
S00135667,68,14,2,18,13,1,-,-,-,1,15
S00135668,57,4,1,16,13,-,-,-,-,-,15
S00135669,67,13,5,22,6,1,3,-,-,-,18
S00135670,90,28,8,27,14,4,-,-,-,1,8
S00135671,36,13,3,13,2,1,-,-,1,-,3
S00135672,59,14,2,23,8,4,-,-,-,-,8
S00135673,28,4,1,7,12,-,-,-,-,2,3
S00135674,53,14,4,22,5,-,-,-,1,-,6
S00135675,57,18,-,20,6,1,-,-,-,2,10
S00135676,39,8,3,14,5,1,2,-,-,1,6
S00135677,29,6,3,8,2,5,-,-,-,-,9
S00135678,56,21,4,14,4,1,1,-,-,5,9
S00135679,42,18,8,8,5,2,-,-,-,-,3
S00135680,54,15,2,17,13,-,-,-,-,-,6
S00135681,67,16,4,18,13,-,-,-,-,-,11
S00135682,43,12,2,7,10,3,-,-,-,-,7
S00135683,42,12,2,12,6,2,1,-,-,-,6
S00135684,33,13,-,5,4,4,-,-,1,-,5
S00135685,72,18,1,24,15,-,-,-,1,-,13
S00135686,15,4,1,2,5,-,1,-,-,-,4
S00135687,66,15,2,24,10,1,2,-,-,-,12
S00135688,45,10,5,6,14,1,-,-,-,-,5
S00135689,44,9,6,10,9,2,-,-,-,-,14
S00135690,58,13,4,21,13,6,1,-,-,-,2
S00135691,62,21,1,20,7,5,1,-,-,1,15
S00135692,39,10,4,16,3,-,1,-,-,-,1
S00135693,62,19,6,12,14,3,-,-,-,-,10
S00135694,38,6,2,9,15,4,1,-,-,-,4
S00135695,41,10,3,13,11,-,2,-,-,-,3
S00135696,33,10,4,7,6,1,-,1,-,-,5
S00135697,66,17,5,12,13,3,1,-,-,1,14
S00135698,65,22,5,17,6,4,-,-,2,1,7
S00135699,86,24,4,20,21,2,1,-,1,-,13
S00135700,32,10,4,9,3,1,-,-,-,-,4
S00135701,39,8,3,10,6,4,-,-,2,-,7
S00135702,46,14,1,11,14,-,-,-,-,-,1
S00135703,31,6,1,13,1,-,1,-,-,-,7
S00135704,23,11,-,9,-,-,-,-,-,-,1
S00135705,47,19,2,13,1,-,2,-,1,1,4
S00135706,60,14,2,25,10,1,-,-,1,-,7
S00135707,34,13,1,10,6,-,-,-,-,-,5
S00135708,44,9,2,9,7,6,1,-,-,1,11
S00135709,44,9,2,11,4,-,1,-,-,-,14
S00135710,26,6,2,6,8,2,-,-,-,-,3
S00135711,38,7,1,13,6,1,-,-,2,2,7
S00135712,62,16,1,18,10,2,-,-,-,1,18
S00135713,37,10,2,10,4,4,-,-,2,-,8
S00135714,71,14,2,24,8,1,-,-,-,-,18
S00135715,57,17,4,8,19,-,-,-,-,2,8
S00135716,53,16,2,14,8,-,-,-,3,-,8
S00135717,54,13,3,18,9,1,-,-,-,4,7
S00135718,35,6,6,14,2,2,-,-,-,-,6
S00135719,62,17,10,12,8,1,3,-,-,2,7
S00135720,90,20,7,22,20,5,1,-,2,-,12
S00135721,85,17,5,28,16,6,4,-,-,1,8
S00135722,26,11,1,5,2,1,1,-,-,-,7
S00135723,24,7,4,2,3,-,3,-,-,-,6
S00135724,37,7,1,8,6,5,-,-,-,-,8
S00135725,40,12,3,10,9,-,-,-,-,-,5
S00135726,73,20,4,31,5,4,1,-,-,-,12
S00135727,63,18,16,13,2,3,-,-,-,1,13
S00135728,47,4,-,12,13,3,-,-,-,1,15
S00135729,28,12,4,1,8,1,-,-,-,-,3
S00135730,51,5,-,20,20,-,-,-,-,-,9
S00135731,46,11,2,14,10,4,-,-,-,-,6
S00135732,52,9,3,15,15,-,1,-,1,-,9
S00135733,35,5,1,14,4,-,2,-,-,-,8
S00135734,40,13,4,9,1,3,-,-,-,-,11
S00135735,53,9,4,14,8,1,-,-,1,-,15
S00135736,29,11,7,6,2,2,1,-,-,1,1
S00135737,52,19,7,7,6,1,1,-,-,-,11
S00135738,78,11,4,21,21,3,-,-,-,-,17
S00135739,49,19,3,9,8,4,-,-,-,1,5
S00135740,40,13,-,13,8,2,-,-,-,2,5
S00135741,33,10,4,8,8,1,3,-,1,-,2
