OutputArea,over16pop
S00136374,135
S00136375,118
S00136376,90
S00136377,67
S00136378,79
S00136379,83
S00136380,96
S00136381,74
S00136382,92
S00136383,82
S00136384,66
S00136385,96
S00136386,76
S00136387,117
S00136388,79
S00136389,124
S00136390,92
S00136391,72
S00136392,69
S00136393,64
S00136394,66
S00136395,155
S00136396,65
S00136397,111
S00136398,77
S00136399,67
S00136400,63
S00136401,86
S00136402,100
S00136403,97
S00136404,56
S00136405,95
S00136406,79
S00136407,95
S00136408,134
S00136409,98
S00136410,109
S00136411,70
S00136412,60
S00136413,71
S00136414,97
S00136415,82
S00136416,115
S00136417,74
S00136418,73
S00136419,104
S00136420,78
S00136421,59
S00136422,140
S00136423,84
S00136424,104
S00136425,94
S00136426,77
S00136427,75
S00136428,76
S00136429,124
S00136430,78
S00136431,131
S00136432,105
S00136433,95
S00136434,62
S00136435,71
S00136436,85
S00136437,151
S00136438,123
S00136439,136
S00136440,68
S00136441,77
S00136442,80
S00136443,73
S00136444,82
S00136445,100
S00136446,92
S00136447,93
S00136448,61
S00136449,98
S00136450,67
S00136451,92
S00136452,74
S00136453,89
S00136454,62
S00136455,106
S00136456,92
S00136457,89
S00136458,95
S00136459,57
S00136460,84
S00136461,139
S00136462,72
S00136463,128
S00136464,72
S00136465,75
S00136466,76
S00136467,96
S00136468,132
S00136469,89
S00136470,90
S00136471,70
S00136472,64
S00136473,67
S00136474,81
S00136475,80
S00136476,62
S00136477,87
S00136478,68
S00136479,105
S00136480,97
S00136481,73
S00136482,116
S00136483,86
S00136484,102
S00136485,84
S00136486,95
S00136487,80
S00136488,80
S00136489,73
S00136490,85
S00136491,77
S00136492,88
S00136493,112
S00136494,154
S00136495,62
S00136496,78
S00136497,81
S00136498,96
S00136499,94
S00136500,96
S00136501,66
S00136502,112
S00136503,85
S00136504,79
S00136505,111
S00136506,102
S00136507,88
S00136508,114
S00136509,127
S00136510,92
S00136511,59
S00136512,59
S00136513,111
S00136514,128
S00136515,89
S00136516,92
S00136517,64
S00136518,149
S00136519,91
S00136520,158
S00136521,91
S00136522,92
S00136523,92
S00136524,83
S00136525,95
S00136526,69
S00136527,107
S00136528,59
S00136529,68
S00136530,89
S00136531,74
S00136532,117
S00136533,82
S00136534,112
S00136535,61
S00136536,77
S00136537,86
S00136538,119
S00136539,97
S00136540,64
S00136541,76
S00136542,60
S00136543,111
S00136544,52
S00136545,85
S00136546,69
S00136547,76
S00136548,81
S00136549,102
S00136550,114
S00136551,103
S00136552,92
S00136553,87
S00136554,84
S00136555,85
S00136556,53
S00136557,68
S00136558,96
S00136559,55
S00136560,72
S00136561,66
S00136562,68
S00136563,64
S00136564,132
S00136565,102
S00136566,79
S00136567,106
S00136568,88
S00136569,84
S00136570,67
S00136571,67
S00136572,61
S00136573,89
S00136574,79
S00136575,67
S00136576,92
S00136577,67
S00136578,93
S00136579,82
S00136580,115
S00136581,61
S00136582,127
S00136583,63
S00136584,62
S00136585,106
S00136586,63
S00136587,58
S00136588,87
S00136589,65
S00136590,93
S00136591,98
S00136592,179
S00136593,108
S00136594,90
S00136595,91
S00136596,62
S00136597,86
S00136598,76
S00136599,78
S00136600,105
S00136601,74
S00136602,118
S00136603,104
S00136604,60
S00136605,133
S00136606,103
S00136607,75
S00136608,309
S00136609,96
S00136610,68
S00136611,82
S00136612,72
S00136613,64
S00136614,69
S00136615,83
S00136616,129
S00136617,65
S00136618,71
S00136619,52
S00136620,107
S00136621,116
S00136622,109
S00136623,64
S00136624,92
S00136625,59
S00136626,87
S00136627,98
S00136628,83
S00136629,69
S00136630,107
S00136631,74
S00136632,67
S00136633,83
S00136634,76
S00136635,82
S00136636,122
S00136637,191
S00136638,102
S00136639,80
S00136640,66
S00136641,103
S00136642,95
S00136643,71
S00136644,71
S00136645,79
S00136646,94
S00136647,113
S00136648,83
S00136649,84
S00136650,123
S00136651,82
S00136652,82
S00136653,54
S00136654,100
S00136655,104
S00136656,61
S00136657,105
S00136658,67
S00136659,98
S00136660,85
S00136661,72
S00136662,68
S00136663,115
S00136664,82
S00136665,103
S00136666,77
S00136667,64
S00136668,76
S00136669,90
S00136670,136
S00136671,64
S00136672,67
S00136673,84
S00136674,69
S00136675,111
S00136676,67
S00136677,140
S00136678,111
S00136679,114
S00136680,128
S00136681,111
S00136682,109
S00136683,89
S00136684,61
S00136685,108
S00136686,76
S00136687,104
S00136688,108
S00136689,85
S00136690,63
S00136691,110
S00136692,103
S00136693,78
S00136694,106
S00136695,90
S00136696,97
S00136697,118
S00136698,70
S00136699,70
S00136700,97
S00136701,72
S00136702,76
S00136703,106
S00136704,79
S00136705,60
S00136706,61
S00136707,70
S00136708,83
S00136709,143
S00136710,101
S00136711,101
S00136712,116
S00136713,85
S00136714,71
S00136715,125
S00136716,147
S00136717,73
S00136718,95
S00136719,82
S00136720,91
S00136721,117
S00136722,94
S00136723,91
S00136724,109
S00136725,58
S00136726,74
S00136727,73
S00136728,76
S00136729,100
S00136730,70
S00136731,103
S00136732,54
S00136733,118
S00136734,102
S00136735,105
S00136736,80
S00136737,101
S00136738,68
